,V1,V2,V3,V4,V5,V6,V7
Pop_AgeGroups,3774440,Wilmington,5265,34476,36313,21310,17897
Pop_AgeGroups,3728080,Greenville,5034,36920,27992,11744,8657
Pop_AgeGroups,3728000,Greensboro,17623,80179,99185,50011,37818
Pop_AgeGroups,3719000,Durham,18102,67404,101504,42441,27781
Pop_AgeGroups,3710740,Cary,9577,40190,59467,32026,18455
Pop_AgeGroups,3722920,Fayetteville,15827,66353,72721,31860,23563
Pop_AgeGroups,3755000,Raleigh,27979,127560,179949,70264,43725
Pop_AgeGroups,3714100,Concord,6515,24207,32078,14645,10162
Pop_AgeGroups,3775000,Winston-Salem,16071,69499,77899,43760,32964
Pop_AgeGroups,3731400,High Point,7013,31297,36223,20244,15072
Pop_AgeGroups,3725580,Gastonia,4989,19486,24038,14633,11235
Pop_AgeGroups,3712000,Charlotte,57293,223332,327999,137386,80050
Pop_AgeGroups,3702140,Asheville,4588,19997,33121,16118,15494
Pop_AgeGroups,3825700,Fargo,8125,38034,40913,17932,13095
Pop_AgeGroups,3988000,Youngstown,4112,16885,19263,13521,11071
Pop_AgeGroups,3961000,Parma,4488,17960,25360,17808,14255
Pop_AgeGroups,3916000,Cleveland,25902,106647,125840,78598,51825
Pop_AgeGroups,3901000,Akron,12748,52596,65311,39503,28094
Pop_AgeGroups,3912000,Canton,5641,19673,22765,13532,10152
Pop_AgeGroups,3918000,Columbus,62979,230422,336721,138920,83102
Pop_AgeGroups,3977000,Toledo,19155,77098,92081,52883,38238
Pop_AgeGroups,3915000,Cincinnati,21934,84185,105243,51899,35696
Pop_AgeGroups,3921000,Dayton,9080,43985,43332,26843,17699
Pop_AgeGroups,4009050,Broken Arrow,7829,28731,35600,20094,14010
Pop_AgeGroups,4075000,Tulsa,29062,109748,134487,74175,53880
Pop_AgeGroups,4023200,Edmond,6205,26472,28164,16371,12557
Pop_AgeGroups,4052500,Norman,6075,43493,38180,18513,13559
Pop_AgeGroups,4055000,Oklahoma City,48956,172063,222053,111189,74930
Pop_AgeGroups,4041850,Lawton,7507,29603,33157,15078,9823
Pop_AgeGroups,4147000,Medford,5802,20091,25802,14194,13357
Pop_AgeGroups,4164900,Salem,10916,46216,56422,28287,21813
Pop_AgeGroups,4123850,Eugene,7699,52386,51124,27634,24292
Pop_AgeGroups,4105800,Bend,5358,20787,31339,15728,13955
Pop_AgeGroups,4134100,Hillsboro,7552,26311,42439,15880,10214
Pop_AgeGroups,4105350,Beaverton,5441,23146,37673,17902,11548
Pop_AgeGroups,4131250,Gresham,7413,30628,37980,20274,14041
Pop_AgeGroups,4159000,Portland,35240,132729,274290,112470,75602
Pop_AgeGroups,4260000,Philadelphia,107736,409925,572830,276159,203007
Pop_AgeGroups,4202000,Allentown,9134,37722,40614,18525,14133
Pop_AgeGroups,4206088,Bethlehem,4402,21816,23746,13580,11696
Pop_AgeGroups,4263624,Reading,7590,30355,29057,12850,8423
Pop_AgeGroups,4269000,Scranton,4681,21923,23232,14264,12524
