"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Pop_AgeGroups","3728080","Greenville","5034","36920","27992","11744","8657","5190","10028","4386","3184","3125","2147","5034","4804","4428","9327","18361","8359","5816","5648","4035","4134","4357","3796","3591","3096","1614","3947"
"Pop_AgeGroups","3728000","Greensboro","17623","80179","99185","50011","37818","11255","13506","12870","10493","10479","8863","17623","17558","16767","21467","24387","24640","19947","19024","17079","18495","17665","17231","15115","12831","9045","15942"
"Pop_AgeGroups","3719000","Durham","18102","67404","101504","42441","27781","8373","10172","13608","12682","9678","9254","18102","15861","15104","16497","19942","25242","23961","18627","18067","15607","15220","14177","13044","10465","6331","10985"
"Pop_AgeGroups","3710740","Cary","9577","40190","59467","32026","18455","4508","2760","4519","5562","6315","7401","9577","11299","13089","9712","6090","8946","10719","12500","14035","13267","12385","10999","8642","6860","4834","6761"
"Pop_AgeGroups","3722920","Fayetteville","15827","66353","72721","31860","23563","6712","9607","10176","7695","6167","5880","15827","14129","12048","14293","25883","22998","15802","11962","11265","10694","10961","11342","9557","8066","5251","10246"
"Pop_AgeGroups","3755000","Raleigh","27979","127560","179949","70264","43725","16355","20311","22508","19819","17990","16368","27979","28117","25859","32703","40881","44722","38572","36321","30504","29830","27316","23868","19080","15656","10191","17878"
"Pop_AgeGroups","3714100","Concord","6515","24207","32078","14645","10162","2852","2336","2964","3542","3249","3688","6515","6333","7091","5771","5012","5545","6504","5928","7522","6579","5654","4929","4062","3300","2629","4233"
"Pop_AgeGroups","3775000","Winston-Salem","16071","69499","77899","43760","32964","9469","10266","9372","8290","7826","7882","16071","17310","14575","18277","19337","17398","16191","14872","15110","14328","15507","15135","13118","10927","7480","14557"
"Pop_AgeGroups","3731400","High Point","7013","31297","36223","20244","15072","4000","4008","4387","3923","3654","4131","7013","7371","8070","8034","7822","7475","7059","6949","7386","7354","7706","6949","5589","4890","3673","6509"
"Pop_AgeGroups","3725580","Gastonia","4989","19486","24038","14633","11235","2302","2216","2632","2640","2561","2574","4989","5003","5326","4682","4475","4955","4745","4612","4775","4951","5569","4808","4256","3722","2651","4862"
"Pop_AgeGroups","3712000","Charlotte","57293","223332","327999","137386","80050","26185","30585","38786","36362","33126","31777","57293","58046","53765","52030","59491","74984","71515","63662","61828","56010","52269","47416","37701","29148","19873","31029"
"Pop_AgeGroups","3702140","Asheville","4588","19997","33121","16118","15494","2353","3776","4003","4011","3382","2655","4588","4477","4282","4474","6764","7950","7354","6901","5502","5414","5606","5068","5444","4967","3435","7092"
"Pop_AgeGroups","3825700","Fargo","8125","38034","40913","17932","13095","4438","8045","5708","4319","3707","2553","8125","6579","5543","8851","17061","12390","9270","7495","5739","6019","5892","5996","6044","3907","2822","6366"
"Pop_AgeGroups","3988000","Youngstown","4112","16885","19263","13521","11071","2007","2321","1921","1899","1732","1820","4112","4262","3606","4048","4969","4260","3896","3681","3747","3679","4196","4889","4436","2943","2551","5577"
"Pop_AgeGroups","3961000","Parma","4488","17960","25360","17808","14255","2530","2314","2624","2526","2470","2289","4488","3978","4036","5063","4883","5088","5245","4964","4974","5089","5899","6376","5533","3972","3197","7086"
"Pop_AgeGroups","3916000","Cleveland","25902","106647","125840","78598","51825","12780","16882","16223","13780","11269","11531","25902","24185","23863","25845","32754","31427","26506","22254","21936","23717","27275","27979","23344","16936","11761","23128"
"Pop_AgeGroups","3901000","Akron","12748","52596","65311","39503","28094","6178","8578","8246","6814","5674","6286","12748","11609","10954","12971","17062","16219","13287","11522","11752","12531","12786","13926","12791","10078","6179","11837"
"Pop_AgeGroups","3912000","Canton","5641","19673","22765","13532","10152","2133","3307","2936","2373","2294","2373","5641","4600","4677","4564","5832","5172","4789","4278","4476","4050","4373","4643","4516","3583","1934","4635"
"Pop_AgeGroups","3918000","Columbus","62979","230422","336721","138920","83102","26355","37678","48890","38130","29508","25548","62979","55994","46870","53377","74181","97801","77060","60381","51036","50443","50927","48340","39653","30156","19459","33487"
"Pop_AgeGroups","3977000","Toledo","19155","77098","92081","52883","38238","9228","11362","11804","9777","8241","8146","19155","18877","17264","18623","22334","23435","19317","15750","16461","17118","17932","18594","16357","13060","8286","16892"
"Pop_AgeGroups","3915000","Cincinnati","21934","84185","105243","51899","35696","10044","14932","16129","12565","8837","8611","21934","18897","15661","21092","28535","30658","24225","17398","16512","16450","17214","17978","16707","12142","7693","15861"
"Pop_AgeGroups","3921000","Dayton","9080","43985","43332","26843","17699","5573","7490","5676","5323","3658","4017","9080","8977","8023","11528","15457","10646","10310","7177","7553","7646","8651","10118","8074","5920","4115","7664"
"Pop_AgeGroups","4009050","Broken Arrow","7829","28731","35600","20094","14010","3508","2974","3387","4086","3346","3584","7829","7497","7902","7346","5986","6608","7705","6756","7238","7293","7321","6524","6249","5375","3391","5244"
"Pop_AgeGroups","4075000","Tulsa","29062","109748","134487","74175","53880","12193","15466","16642","14439","12907","11964","29062","28169","26607","24788","30184","32866","29320","25496","23710","23095","24919","26211","23045","18258","12217","23405"
"Pop_AgeGroups","4023200","Edmond","6205","26472","28164","16371","12557","3221","3247","3237","3130","3075","2744","6205","6746","6346","6733","6647","6108","6094","5768","5245","4949","5509","5915","4947","4115","3299","5143"
